,name,station_id,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
153,UNBRANDED LONDON ROAD (STATE OIL HILDENBOROUGH SERVICE STATION),18185,"LONDON ROAD, TN11 9ND",,,,,,True,,,,,,,,,,,,
154,SHELL LONDON ROAD (PARK WROTHAM HEATH SERVICE STATION),12508,"LONDON ROAD, TN15 7RX",True,True,True,,,True,True,,,True,,True,,,,True,,
155,JET WEST MALLING (MFG OFFHAM),4147,"LONDON ROAD, ME19 5AL",True,True,,,,,,,,,,,,,,,,
156,TEXACO WROTHAM ROAD (CULVERSTONE SERVICE STATION),7540,"WROTHAM ROAD, DA13 0RF",True,True,True,True,,True,,True,,True,,,,,,,,
157,SAINSBURYS TONBRIDGE,9247,"ANGEL LANE, TN9 1SF",True,True,True,,,True,,,,,,,True,,,,,
158,MURCO BEXLEY (JOYDENS WOOD SERVICE STATION),1072,"SUMMERHOUSE DRIVE, DA5 2ES",,True,,,,True,True,,,,,,,,,,True,
159,BP TONBRIDGE ROAD (HILDEN SF CONNECT),5654,"TONBRIDGE ROAD, TN11 9BJ",,True,,,True,True,True,True,True,True,True,,,,,,,
160,SHELL SHIPBOURNE ROAD (MFG SHIPBOURNE ROAD),5653,"SHIPBOURNE ROAD, TN10 3ED",,,,,,True,,True,,True,,,,,True,,,
161,BP HADLOW ROAD EAST (THREE ELMS SERVICE STATION),3266,"HADLOW ROAD EAST, TN11 0AB",True,True,True,,True,True,True,True,,True,,True,True,,,,,
162,SHELL LONGFIELD (LONGFIELD FILLING STATION),17457,"STATION ROAD, DA3 7QD",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
163,SHELL QUARRY HILL (SHELL TONBRIDGE),4628,"QUARRY HILL, TN9 2SA",True,True,,,True,True,,True,,True,,,,,,,,
164,BP EDGINGTON WAY (BYPASS SF CONNECT),1063,"EDGINGTON WAY, DA14 5AD",,True,True,True,True,True,True,,True,True,True,True,,,,,,
165,PACE TONBRIDGE (FORGE GARAGE),18037,"HIGH STREET, TN11 8BU",,,,,,,,,,,,,,,,,,
166,BP WEST MALLING (PARKFOOT GARAGE),2734,"LONDON ROAD, ME19 5AE",True,True,True,True,True,True,True,,True,True,,,,,,,,
167,SHELL HAWLEY ROAD (SHELL HAWLEY),3705,"HAWLEY ROAD, DA1 1PU",,True,,,,True,,True,,,,,True,,,,,
168,BP SUNBURY (KEMPTON PARK SF CONNECT),1331,"STAINES ROAD EAST, TW16 5AW",,True,True,True,True,True,,,,True,,,,,,,,
169,SHELL EAST MOLESEY (MFG PARKHURST),1326,"HURST ROAD, KT8 1SE",,True,,,,True,True,True,,,,,,,,,,
170,TESCO SUNBURY EXTRA,1215,"STAINES ROAD WEST, TW16 7BB",,True,,True,,True,True,True,,,,,,,,,,
171,TEXACO FELTHAM (PARK FELTHAM HILL SERVICE STATION),1236,"SNAKEY LANE, TW13 7ND",True,True,True,True,,True,True,,,True,,,True,,,,True,
172,ESSO EAST MOLESEY (MFG PALACE),1328,"HAMPTON COURT ROAD, KT8 9BW",,True,,,,True,,,,,,,,,,,,
