,name,station_id,station_location,lat,lng,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
134,SHELL LONDON ROAD (SHELL WAITROSE TUBS HILL),4615,"LONDON ROAD, TN13 1DH",51.27781909999999,0.1797762,142.9,153.9,146.9,,15.10.2021,15.10.2021,15.10.2021,
135,SAINSBURYS SEVENOAKS,17552,"OTFORD ROAD, TN14 5EG",51.2977733,0.1937143,138.9,,139.9,,17.10.2021,,13.10.2021,
136,SHELL SEAL ROAD (MFG SEVENOAKS),252,"SEAL ROAD, TN14 5AX",51.28875859999999,0.1998496,142.9,,147.9,,14.10.2021,,14.10.2021,
137,TEXACO HIGH STREET (ORPINGTON POND SERVICE STATION),1092,"HIGH STREET, BR6 0JG",51.3818391,0.1059276,143.9,,147.9,,13.10.2021,,13.10.2021,
138,ESSO EDENBRIDGE (MFG CHAMPION),3289,"STATION ROAD, TN8 6HL",51.206103,0.061535,143.9,142.9,149.9,,18.10.2021,14.10.2021,18.10.2021,
139,CO-OP SWANLEY,1070,"HIGH STREET, BR8 8AF",51.3943902,0.1806758,140.9,,144.9,,13.10.2021,,13.10.2021,
140,TEXACO WEST KINGSDOWN (PARK TWENTY MILE SERVICE STATION),8108,"LONDON ROAD, TN15 6ET",51.3526299,0.2530428,147.9,,148.9,,13.10.2021,,13.10.2021,
141,BP SWANLEY (SWANLEY SERVICE STATION),1067,"LONDON ROAD, BR8 7HA",51.40287499999999,0.162545,140.9,147.9,143.9,159.9,16.10.2021,08.10.2021,14.10.2021,08.10.2021
142,UNBRANDED SWANLEY (W J KING GARAGES SWANLEY),1066,"LONDON ROAD, BR8 7QD",51.4052291,0.1594184,139.9,,145.9,,16.10.2021,,13.10.2021,
143,UNBRANDED DARTFORD (W J KING GARAGES FARNINGHAM ROAD),11821,"DARTFORD ROAD, DA4 0DX",51.3830945,0.2210531,143.9,,145.9,,13.10.2021,,13.10.2021,
144,BP SWANLEY BYPASS (RSS SWANLEY),1073,"SWANLEY BYPASS, DA14 5JA",51.409724,0.14376,140.9,140.9,141.9,,13.10.2021,14.10.2021,14.10.2021,
